Origin_airport,Destination_airport,Total_Passengers,Org_airport_lat,Org_airport_long,Dest_airport_lat,Dest_airport_long
OGG,HNL,32364612,20.8985996246338,-156.429992675781,21.3187007904053,-157.921997070312
HNL,OGG,29744742,21.3187007904053,-157.921997070312,20.8985996246338,-156.429992675781
LAX,HNL,28918195,33.94250107,-118.4079971,21.3187007904053,-157.921997070312
HNL,LAX,28593604,21.3187007904053,-157.921997070312,33.94250107,-118.4079971
LAS,LAX,26333376,36.08010101,-115.1520004,33.94250107,-118.4079971
LAX,LAS,26177635,33.94250107,-118.4079971,36.08010101,-115.1520004
LAX,SFO,25661782,33.94250107,-118.4079971,37.6189994812012,-122.375
SFO,LAX,25458207,37.6189994812012,-122.375,33.94250107,-118.4079971
ATL,MCO,23483751,33.6366996765137,-84.4281005859375,28.4293994903564,-81.3089981079102
ORD,LAX,22978977,41.97859955,-87.90480042,33.94250107,-118.4079971
LAX,ORD,22936415,33.94250107,-118.4079971,41.97859955,-87.90480042
MCO,ATL,22754168,28.4293994903564,-81.3089981079102,33.6366996765137,-84.4281005859375
LAX,JFK,22289170,33.94250107,-118.4079971,40.63980103,-73.77890015
PHX,LAS,21697391,33.4342994689941,-112.012001037598,36.08010101,-115.1520004
ATL,DFW,21626001,33.6366996765137,-84.4281005859375,32.896800994873,-97.0380020141602
JFK,LAX,21579063,40.63980103,-73.77890015,33.94250107,-118.4079971
PHX,LAX,21490581,33.4342994689941,-112.012001037598,33.94250107,-118.4079971
DFW,ATL,21315212,32.896800994873,-97.0380020141602,33.6366996765137,-84.4281005859375
LAS,PHX,21281657,36.08010101,-115.1520004,33.4342994689941,-112.012001037598
LAX,PHX,21200432,33.94250107,-118.4079971,33.4342994689941,-112.012001037598
LGA,ORD,20147022,40.77719879,-73.87259674,41.97859955,-87.90480042
ORD,LGA,19834394,41.97859955,-87.90480042,40.77719879,-73.87259674
ORD,SFO,18614342,41.97859955,-87.90480042,37.6189994812012,-122.375
SFO,ORD,18311167,37.6189994812012,-122.375,41.97859955,-87.90480042
DAL,HOU,17855661,32.8470993041992,-96.8517990112305,29.64539909,-95.27890015
HOU,DAL,17717480,29.64539909,-95.27890015,32.8470993041992,-96.8517990112305
TPA,ATL,17462127,27.9755001068115,-82.533203125,33.6366996765137,-84.4281005859375
ATL,TPA,17409235,33.6366996765137,-84.4281005859375,27.9755001068115,-82.533203125
ATL,FLL,17212233,33.6366996765137,-84.4281005859375,26.0725994110107,-80.152702331543
